Sample Size:	4210.0	3327.0	3443.0	4733.0	3486.0	3273.0	3462.0	2717.0	2329.0	2577.0	2795.0	3400.0	2570.0	2302.0	2400.0	3069.0	2620.0	3258.0	2258.0	2980.0	2319.0	2471.0	2613.0	3196.0	2553.0	2775.0	2869.0	4427.0	3149.0	3923.0	3689.0	5126.0	4055.0	4109.0	3818.0	5877.0	5204.0	5442.0	4896.0	5992.0	4686.0	3516.0	3573.0	4484.0	3177.0	2827.0	3528.0	5458.0

Black Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.891E-4	0.0	0.0	0.0	0.0	0.0	0.0	6.711E-4	0.0	0.0	0.0	3.129E-4	0.0	0.0	0.0	0.0	6.351E-4	0.0	0.0	1.951E-4	0.0	0.0	0.0	3.403E-4	0.0	5.513E-4	0.0	5.007E-4	4.268E-4	5.688E-4	0.0	2.23E-4	0.0	0.0010612	0.0015	1.832E-4	
swan sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.134E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Knob-billed Duck	0.0216152	0.0186354	0.023526	0.0162688	0.0223752	0.0302475	0.0181976	0.0165624	0.0176041	0.0182383	0.0250447	0.0120588	0.0140078	0.0104257	0.00875	0.010101	0.009542	0.0085942	0.010186	0.011745	0.0060371	0.0072845	0.0053578	0.0059449	0.0070505	0.0061261	0.0076682	0.0070025	0.0053985	0.0048432	0.0046083	0.0072181	0.0078915	0.007301	0.0073337	0.0059554	0.0082629	0.0095553	0.0114379	0.0085113	0.0089629	0.0150739	0.0207109	0.0263158	0.0226629	0.0208702	0.0223923	0.02107	
goose sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.681E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Egyptian Goose	0.2726841	0.274722	0.2872495	0.2613564	0.2541595	0.2859762	0.2735413	0.2675745	0.2786604	0.2925883	0.2762075	0.2702941	0.2712062	0.3140747	0.2754167	0.3027045	0.3038168	0.3360958	0.3241807	0.3372483	0.3285899	0.3229462	0.3279755	0.3369837	0.3470427	0.3553153	0.3401882	0.3641292	0.3693236	0.3650268	0.3293575	0.3435427	0.3331689	0.3487467	0.3459927	0.3503488	0.3251345	0.3219405	0.3513072	0.3548064	0.3499787	0.3759954	0.3604814	0.353479	0.3113	0.3141139	0.3075397	0.2849029	
South African Shelduck	0.0239905	0.0363691	0.0360151	0.0314811	0.0292599	0.0360526	0.036684	0.0441664	0.0468012	0.0391929	0.0440072	0.0347059	0.0373541	0.0273675	0.0416667	0.0368198	0.0396947	0.0451197	0.0292294	0.0322148	0.0418284	0.0263051	0.035974	0.0319149	0.0329025	0.0389189	0.035901	0.0273323	0.0349317	0.0336477	0.0330713	0.0382364	0.0448829	0.0406425	0.0364065	0.0326697	0.0363182	0.0321573	0.0300245	0.0297063	0.0317968	0.03157	0.0271481	0.0223015	0.0188857	0.0212239	0.0209751	0.0234518	
Common Shelduck	0.0015	3.006E-4	0.0015	0.0015	0.0015	0.0	2.889E-4	0.0	0.0	0.0	0.0	0.0	3.891E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.094E-4	0.0	3.129E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.466E-4	0.0	0.0	0.0	3.843E-4	0.0	0.0	0.0	2.134E-4	2.844E-4	0.0	0.0	0.0	3.537E-4	0.0	0.0	
Spur-winged Goose	0.0909739	0.1009919	0.096718	0.0904289	0.0857717	0.0904369	0.0834778	0.0861244	0.0910262	0.088863	0.078712	0.0670588	0.0669261	0.0599479	0.0595833	0.0733138	0.0687023	0.0773481	0.05093	0.0691275	0.0651143	0.0611089	0.0619977	0.0610138	0.0732472	0.0673874	0.0679679	0.0700248	0.0905049	0.079531	0.0832204	0.0803746	0.0855734	0.0851789	0.0770037	0.0843968	0.0882014	0.0882029	0.1019199	0.0909546	0.0943235	0.1012514	0.0973971	0.1121766	0.0947435	0.1100106	0.1062925	0.0923415	
Muscovy Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.312E-4	4.047E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.619E-4	0.0	0.0	0.0	0.0	0.0	2.134E-4	0.0	0.0	2.23E-4	0.0	0.0	0.0	0.0	
African Pygmy-Goose	0.0019002	0.0048091	0.0029044	0.001479	0.0025818	0.0058051	0.0023108	0.0011042	8.587E-4	0.0027163	0.0039356	0.0032353	0.0015564	4.344E-4	8.333E-4	0.0013034	0.0015267	0.0027624	0.0044287	0.002349	0.0017249	0.0036423	0.0022962	0.0021902	0.0023502	0.0021622	0.0020913	0.002033	6.351E-4	0.0020393	0.0018975	0.0025361	0.0014797	0.0031638	0.0026192	0.0025523	0.0017294	0.0038589	0.0038807	0.0038385	0.002134	0.0028441	0.0019591	0.0026762	0.0025181	0.0021224	0.0031179	0.0027483	
Ringed Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.167E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.129E-4	0.0015	3.604E-4	0.0	0.0	0.0	0.0	0.0015	1.951E-4	0.0	0.0	0.0	0.0	0.0	0.0	2.042E-4	0.0	2.134E-4	0.0	2.799E-4	0.0	3.148E-4	0.0	0.0	0.0	
Wood Duck	0.0	0.0	5.809E-4	2.113E-4	0.0	0.0	2.889E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.167E-4	3.258E-4	0.0	0.0	0.0	0.0	4.312E-4	0.0	0.0	0.0	0.0	0.0	0.0010457	2.259E-4	3.176E-4	5.098E-4	2.711E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.669E-4	2.134E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mandarin Duck	0.0	0.0	0.0	2.113E-4	0.0	0.0	0.0015	0.0	0.0	3.88E-4	0.0	2.941E-4	0.0	0.0	0.0	3.258E-4	0.0	0.0	0.0	0.0010067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.259E-4	3.176E-4	0.0	2.711E-4	0.0	2.466E-4	2.434E-4	0.0	1.702E-4	0.0	0.0	2.042E-4	0.0015	2.134E-4	0.0	0.0	2.23E-4	0.0	0.0	0.0	0.0	
Garganey	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.711E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.042E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
